Country,Date,Doses,Funder,ISO3,NewPipeline,Pipeline,Source_Url,Vaccine,c9
Mozambique,July,108,000,France,MOZ,COVAX/France,COVAX,https://clubofmozambique.com/news/government-of-france-boosts-mozambiques-vaccination-efforts-with-108000-doses-of-covid-19-vaccine-astrazeneca-195871/,AstraZeneca,
Zimbabwe,July,2,000,000,Procured,ZWE,Procured,Other,https://www.news24.com/news24/africa/news/zimbabwe-gets-2-million-sinovac-doses-to-boost-covid-19-vaccination-20210708,Sinovac,
Afghanistan,July,3,312,050,USA,AFG,COVAX/USA,COVAX,https://www.whitehouse.gov/briefing-room/statements-releases/2021/08/03/fact-sheet-president-biden-announces-major-milestone-in-administrations-global-vaccination-efforts-more-than-100-million-u-s-covid-19-vaccine-doses-donated-and-shipped-abroad/,Johnson & Johnson,
Haiti,July,250,000,USA,HTI,COVAX/USA,COVAX,https://reliefweb.int/report/haiti/statement-arrival-first-batch-covid-19-vaccines-haiti,,
Pakistan,July,1,236,000,Global,PAK,COVAX/Global,COVAX,https://www.unicef.org/pakistan/press-releases/another-12-million-doses-covid-19-vaccine-reach-pakistan-through-covax,AstraZeneca,
Ukraine,July,2,000,040,USA,UKR,COVAX/USA,COVAX,https://www.unicef.org/ukraine/en/press-releases/ukraine-receives-2-million-doses-moderna-vaccine-donated-usa-through-covax,Moderna,
Libya,July,500,000,Procured,LBY,Procured,Other,https://www.libyaherald.com/2021/07/20/consignment-of-500000-doses-of-sputnik-v-vaccines-arrive-in-tripoli/,Sputnik V,
Burkina Faso,July,302,400,USA,BFA,COVAX/USA,COVAX,https://www.whitehouse.gov/briefing-room/statements-releases/2021/08/03/fact-sheet-president-biden-announces-major-milestone-in-administrations-global-vaccination-efforts-more-than-100-million-u-s-covid-19-vaccine-doses-donated-and-shipped-abroad/,Johnson & Johnson,
CAR,July,302,400,USA,CAF,COVAX/USA,COVAX,https://cf.usembassy.gov/u-s-donates-covid-19-vaccines-for-central-african-republic-in-collaboration-with-african-union-and-covax-network/,Johnson & Johnson,
Cameroon,July,303,050,USA,CMR,COVAX/USA,COVAX,https://cm.usembassy.gov/donation-of-303050-doses-of-johnson-johnson-covid-19-vaccine-to-cameroon/,Johnson & Johnson,
